size_cm,weight_g,color_intensity,ripeness_level,firmness,sweetness,defect_count,bruise_score,spot_score,defect_score,size_to_weight_ratio
0.33950663567518946,0.31443311001657376,0.5857142857142857,0.77,0.020000000000000073,0.49,0.6,0.91,0.79,0.8854961832061067,0.804777889731837
0.4150858513908676,0.39267956768365275,0.15714285714285714,0.21000000000000002,0.31,0.49,0.2,0.81,0.73,0.6717557251908397,0.7979477882687829
0.9927270000749796,0.33320105511333137,0.5714285714285714,0.25,0.010000000000000009,0.040000000000000036,0.0,0.36,0.64,0.3511450381679389,0.905010216613567
0.44447776861363136,0.32449403580849234,0.4857142857142858,0.29,0.78,0.67,0.4,0.32,0.49,0.44274809160305334,0.8269921562684764
0.6616180550348655,0.6975886458600808,0.9285714285714286,0.08000000000000007,0.56,0.47,0.4,0.44,0.51,0.5038167938931297,0.7771070591813187
0.4138861813001426,0.6178015359835665,0.21428571428571436,0.54,0.08000000000000002,0.58,0.0,0.24,0.43000000000000005,0.24427480916030533,0.7423319642508343
0.3718977281247658,0.383295595135274,0.5857142857142857,0.13,0.17000000000000004,0.3,0.6,0.81,0.66,0.7938931297709924,0.7898758447537817
0.3545025118092525,0.6961180232965289,0.4,0.94,0.66,0.84,0.6,0.44,0.99,0.7328244274809159,0.7104819542908838
0.32631026467721386,0.38637689955414467,0.0714285714285714,0.6,0.78,0.68,0.2,0.19,0.7,0.36641221374045796,0.7765162980968164
0.5980355402264379,0.6951609514694554,0.7285714285714288,0.82,0.61,0.15999999999999998,0.2,0.25,0.24,0.2595419847328244,0.7665985121189326
0.4414785933868187,0.5984966969350359,0.44285714285714295,0.71,0.63,0.51,0.6,0.96,0.27,0.748091603053435,0.7531401884483946
0.11696783384569243,0.0415976096547539,0.9571428571428572,0.4,0.8,0.26,0.0,0.42,0.30000000000000004,0.27480916030534347,0.941130184181488
0.3976906350753544,0.35000817012535307,0.11428571428571432,0.53,0.78,0.27,0.2,0.12,0.08999999999999997,0.15267175572519082,0.8072601356829084
0.3730973982154908,0.36914960666682234,0.11428571428571432,0.23000000000000004,0.83,0.8500000000000001,0.4,0.56,0.74,0.6412213740458015,0.7949907407309674
0.39469145984854176,0.4450617428044539,0.15714285714285714,0.17999999999999994,0.97,0.84,0.4,0.12,0.19999999999999996,0.27480916030534347,0.7779872125411594
0.3868936042588289,0.4627325567823713,0.028571428571428692,0.22000000000000008,0.0,0.87,0.0,0.91,0.32,0.5190839694656488,0.7710494929201327
0.4090875009372424,0.38226849366231713,0.35714285714285726,0.24,0.68,0.15000000000000002,0.0,0.41,0.12,0.2290076335877862,0.7996362293419965
0.3742970683062159,0.6132962954317328,0.7428571428571429,0.35,0.28,0.0,0.4,0.7,0.33,0.5801526717557252,0.732570173743218
0.08877558671365382,0.04110740213356989,0.2571428571428572,0.37,0.89,0.62,0.2,0.46,0.58,0.47328244274809156,0.9261066874944155
0.09417410212191651,0.0407572539041528,0.2571428571428572,0.89,0.49,0.21999999999999997,0.4,0.79,0.55,0.6870229007633588,0.9304211087652382
0.32571042963185126,0.3032750531058149,0.11428571428571432,0.21000000000000002,0.35,0.56,0.2,0.62,0.26,0.44274809160305334,0.8052334520736324
0.3922921196670916,0.406755526506221,0.7000000000000002,0.07,0.81,0.81,0.0,0.8,0.32,0.45801526717557245,0.7882931392078613
0.47626902601784515,0.7915684306356358,0.8857142857142859,0.77,0.32,0.32,0.2,0.53,0.87,0.5801526717557252,0.7252210822066203
1.0,0.2541375849109457,0.7428571428571429,0.7,0.69,0.58,0.6,0.56,0.77,0.7175572519083968,0.9478665316109096
0.4252830471620305,0.3948738299213334,0.09999999999999998,0.62,0.16000000000000003,0.74,0.0,0.66,0.25,0.38167938931297707,0.7996362293419965
0.3353077903576517,0.27096804313826195,0.11428571428571432,0.8500000000000001,0.86,0.55,0.6,0.46,0.07000000000000006,0.45801526717557245,0.8208707950142574
0.6772137662142912,0.6155372441000024,0.7142857142857144,0.9,0.47,0.69,0.0,0.96,0.87,0.7022900763358778,0.7947406430175404
0.3221114193596762,0.327972174887369,0.7714285714285715,0.77,0.65,0.93,0.6,0.08000000000000002,0.47,0.4122137404580153,0.7947406430175404
0.34250581090200205,0.3485842339923902,0.4142857142857143,0.59,0.44,0.38,0.2,0.82,0.07000000000000006,0.47328244274809156,0.7934814324371049
0.26572692509559875,0.3969046896519527,0.8571428571428573,0.48,0.33,0.030000000000000027,0.4,0.64,0.28,0.5343511450381678,0.753506970588625
0.3281097698133014,0.39396344452484894,0.3142857142857144,0.33,0.7,0.32,0.2,0.61,0.51,0.5038167938931297,0.7747244645849379
0.27712379095748674,0.2945680338009758,0.6428571428571429,0.98,0.31,0.17000000000000004,1.0,0.07,0.16000000000000003,0.45801526717557245,0.7934814324371049
0.3383069655844644,0.3326875043768529,0.18571428571428572,0.93,0.99,0.92,0.0,0.54,0.8,0.48854961832061067,0.7977044228882149
1.0,1.0,0.47142857142857153,0.34,0.86,0.31000000000000005,0.6,0.61,0.20999999999999996,0.564885496183206,
0.38749343930419144,0.2677466794276244,0.9000000000000001,0.5,0.64,0.32,0.2,0.7,0.83,0.6412213740458015,0.8359147630355424
0.3808952538052036,0.36174980741847385,0.3142857142857144,0.33,0.8800000000000001,0.62,1.0,0.45,0.79,0.8244274809160305,0.7991564930316564
